slide,labels,fold
feats_conch_slide/TCGA-IG-A5S3-01Z-00-DX1_0.pkl,6,4.0
feats_conch_slide/TCGA-LN-A9FO-01Z-00-DX1_0.pkl,6,5.0
feats_conch_slide/TCGA-IG-A3QL-01Z-00-DX1_0.pkl,6,1.0
feats_conch_slide/TCGA-LN-A4MR-01Z-00-DX1_0.pkl,6,4.0
feats_conch_slide/TCGA-ZR-A9CJ-01Z-00-DX1_1.pkl,7,6.0
feats_conch_slide/TCGA-IG-A50L-01Z-00-DX1_0.pkl,6,3.0
feats_conch_slide/TCGA-L5-A4OO-01Z-00-DX1_1.pkl,7,6.0
feats_conch_slide/TCGA-JY-A93D-01Z-00-DX1_1.pkl,7,3.0
feats_conch_slide/TCGA-VR-A8Q7-01Z-00-DX1_0.pkl,6,0.0
feats_conch_slide/TCGA-2H-A9GI-01Z-00-DX1_1.pkl,7,8.0
feats_conch_slide/TCGA-IG-A625-01Z-00-DX1_0.pkl,6,8.0
feats_conch_slide/TCGA-VR-AA7B-01Z-00-DX1_0.pkl,6,2.0
feats_conch_slide/TCGA-LN-A7HX-01Z-00-DX1_0.pkl,6,1.0
feats_conch_slide/TCGA-LN-A49S-01Z-00-DX1_0.pkl,6,8.0
feats_conch_slide/TCGA-IG-A4QS-01Z-00-DX1_1.pkl,7,5.0
feats_conch_slide/TCGA-IG-A51D-01Z-00-DX1_0.pkl,6,2.0
feats_conch_slide/TCGA-L5-A4ON-01Z-00-DX1_1.pkl,7,0.0
feats_conch_slide/TCGA-2H-A9GO-01Z-00-DX1_1.pkl,7,2.0
feats_conch_slide/TCGA-R6-A6DN-01Z-00-DX1_1.pkl,7,7.0
feats_conch_slide/TCGA-R6-A8W8-01Z-00-DX1_1.pkl,7,9.0
feats_conch_slide/TCGA-VR-A8EP-01Z-00-DX1_0.pkl,6,5.0
feats_conch_slide/TCGA-L5-A4OX-01Z-00-DX1_1.pkl,7,7.0
feats_conch_slide/TCGA-2H-A9GH-01Z-00-DX1_1.pkl,7,4.0
feats_conch_slide/TCGA-L5-A43J-01Z-00-DX1_0.pkl,6,1.0
feats_conch_slide/TCGA-IG-A3Y9-01Z-00-DX1_0.pkl,6,2.0
feats_conch_slide/TCGA-R6-A8WC-01Z-00-DX1_1.pkl,7,3.0
feats_conch_slide/TCGA-XP-A8T7-01Z-00-DX1_0.pkl,6,0.0
feats_conch_slide/TCGA-LN-A49K-01Z-00-DX1_0.pkl,6,1.0
feats_conch_slide/TCGA-2H-A9GM-01Z-00-DX1_1.pkl,7,5.0
feats_conch_slide/TCGA-LN-A8HZ-01Z-00-DX1_0.pkl,6,4.0
feats_conch_slide/TCGA-IG-A7DP-01Z-00-DX1_1.pkl,7,8.0
feats_conch_slide/TCGA-VR-A8EX-01Z-00-DX1_0.pkl,6,0.0
feats_conch_slide/TCGA-L5-A4OI-01Z-00-DX1_1.pkl,7,5.0
feats_conch_slide/TCGA-VR-A8EQ-01Z-00-DX1_0.pkl,6,7.0
feats_conch_slide/TCGA-LN-A4A6-01Z-00-DX1_0.pkl,6,0.0
feats_conch_slide/TCGA-IG-A3YB-01Z-00-DX1_0.pkl,6,9.0
feats_conch_slide/TCGA-JY-A93F-01Z-00-DX1_0.pkl,6,3.0
feats_conch_slide/TCGA-LN-A7HV-01Z-00-DX1_0.pkl,6,9.0
feats_conch_slide/TCGA-JY-A6FG-01Z-00-DX1_0.pkl,6,6.0
feats_conch_slide/TCGA-JY-A939-01Z-00-DX1_1.pkl,7,9.0
feats_conch_slide/TCGA-LN-A4MQ-01Z-00-DX1_0.pkl,6,9.0
feats_conch_slide/TCGA-Z6-A8JE-01Z-00-DX1_0.pkl,6,5.0
feats_conch_slide/TCGA-VR-A8EZ-01Z-00-DX1_0.pkl,6,4.0
feats_conch_slide/TCGA-L5-A4OQ-01Z-00-DX1_1.pkl,7,3.0
feats_conch_slide/TCGA-R6-A8WG-01Z-00-DX1_1.pkl,7,8.0
feats_conch_slide/TCGA-LN-A49X-01Z-00-DX1_0.pkl,6,5.0
feats_conch_slide/TCGA-LN-A49Y-01Z-00-DX1_0.pkl,6,8.0
feats_conch_slide/TCGA-VR-A8EW-01Z-00-DX1_0.pkl,6,4.0
feats_conch_slide/TCGA-R6-A8W5-01Z-00-DX1_1.pkl,7,5.0
feats_conch_slide/TCGA-L5-A4OM-01Z-00-DX1_1.pkl,7,1.0
feats_conch_slide/TCGA-LN-A7HW-01Z-00-DX1_0.pkl,6,6.0
feats_conch_slide/TCGA-LN-A9FQ-01Z-00-DX1_0.pkl,6,6.0
feats_conch_slide/TCGA-R6-A6Y2-01Z-00-DX1_1.pkl,7,8.0
feats_conch_slide/TCGA-LN-A49L-01Z-00-DX1_0.pkl,6,9.0
feats_conch_slide/TCGA-IG-A3I8-01Z-00-DX1_0.pkl,6,9.0
feats_conch_slide/TCGA-XP-A8T8-01Z-00-DX1_0.pkl,6,4.0
feats_conch_slide/TCGA-R6-A6XG-01Z-00-DX1_1.pkl,7,1.0
feats_conch_slide/TCGA-JY-A6FB-01Z-00-DX1_1.pkl,7,1.0
feats_conch_slide/TCGA-KH-A6WC-01Z-00-DX1_0.pkl,6,6.0
feats_conch_slide/TCGA-V5-A7RC-01Z-00-DX2_0.pkl,6,5.0
feats_conch_slide/TCGA-JY-A6FD-01Z-00-DX1_0.pkl,6,8.0
feats_conch_slide/TCGA-X8-AAAR-01Z-00-DX1_1.pkl,7,4.0
feats_conch_slide/TCGA-JY-A93C-01Z-00-DX1_1.pkl,7,6.0
feats_conch_slide/TCGA-VR-AA4D-01Z-00-DX1_1.pkl,7,5.0
feats_conch_slide/TCGA-VR-AA4G-01Z-00-DX1_0.pkl,6,6.0
feats_conch_slide/TCGA-IG-A4QT-01Z-00-DX1_0.pkl,6,3.0
feats_conch_slide/TCGA-S8-A6BV-01Z-00-DX1_1.pkl,7,6.0
feats_conch_slide/TCGA-IG-A6QS-01Z-00-DX1_0.pkl,6,9.0
feats_conch_slide/TCGA-XP-A8T6-01Z-00-DX1_0.pkl,6,6.0
feats_conch_slide/TCGA-L5-A4OF-01Z-00-DX1_1.pkl,7,0.0
feats_conch_slide/TCGA-JY-A6F8-01Z-00-DX1_1.pkl,7,4.0
feats_conch_slide/TCGA-L5-A4OH-01Z-00-DX1_1.pkl,7,8.0
feats_conch_slide/TCGA-LN-A49W-01Z-00-DX1_0.pkl,6,6.0
feats_conch_slide/TCGA-L7-A56G-01Z-00-DX1_0.pkl,6,8.0
feats_conch_slide/TCGA-LN-A9FP-01Z-00-DX1_0.pkl,6,3.0
feats_conch_slide/TCGA-Z6-A8JD-01Z-00-DX1_0.pkl,6,3.0
feats_conch_slide/TCGA-L5-A4OS-01Z-00-DX1_1.pkl,7,5.0
feats_conch_slide/TCGA-LN-A4A2-01Z-00-DX1_0.pkl,6,0.0
feats_conch_slide/TCGA-R6-A6Y0-01Z-00-DX1_1.pkl,7,9.0
feats_conch_slide/TCGA-L5-A4OT-01Z-00-DX1_1.pkl,7,2.0
feats_conch_slide/TCGA-VR-A8EY-01Z-00-DX1_0.pkl,6,5.0
feats_conch_slide/TCGA-JY-A6FA-01Z-00-DX1_0.pkl,6,2.0
feats_conch_slide/TCGA-R6-A6L6-01Z-00-DX1_1.pkl,7,7.0
feats_conch_slide/TCGA-2H-A9GJ-01Z-00-DX1_1.pkl,7,1.0
feats_conch_slide/TCGA-LN-A5U6-01Z-00-DX1_0.pkl,6,0.0
feats_conch_slide/TCGA-JY-A6FH-01Z-00-DX1_1.pkl,7,9.0
feats_conch_slide/TCGA-Z6-AAPN-01Z-00-DX1_0.pkl,6,2.0
feats_conch_slide/TCGA-V5-A7RB-01Z-00-DX1_1.pkl,7,3.0
feats_conch_slide/TCGA-L5-A43E-01Z-00-DX1_1.pkl,7,1.0
feats_conch_slide/TCGA-LN-A5U7-01Z-00-DX1_0.pkl,6,9.0
feats_conch_slide/TCGA-LN-A8I1-01Z-00-DX1_0.pkl,6,8.0
feats_conch_slide/TCGA-LN-A9FR-01Z-00-DX1_0.pkl,6,8.0
feats_conch_slide/TCGA-V5-A7RC-01Z-00-DX1_0.pkl,6,2.0
feats_conch_slide/TCGA-L5-A43H-01Z-00-DX1_0.pkl,6,6.0
feats_conch_slide/TCGA-LN-A4A3-01Z-00-DX1_0.pkl,6,7.0
feats_conch_slide/TCGA-2H-A9GL-01Z-00-DX1_1.pkl,7,0.0
feats_conch_slide/TCGA-V5-AASV-01Z-00-DX2_0.pkl,6,1.0
feats_conch_slide/TCGA-VR-A8EO-01Z-00-DX1_0.pkl,6,5.0
